,,,,,,,,,,Misc,Misc,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,
Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,College/Univ,
1,2019,1,1,Kyler Murray\MurrKy00,QB,22,ARI,2019,2019,0,0,1,14,16,16,5-10-1,349,542,3722,20,12,93,544,4,,,,Oklahoma,College Stats
2,2019,1,6,Daniel Jones\JoneDa05,QB,22,NYG,2019,2019,0,0,1,9,13,12,3-9-0,284,459,3027,24,12,45,279,2,,,,Duke,College Stats
3,2019,1,8,T.J. Hockenson\HockTJ00,TE,22,DET,2019,2019,0,0,0,3,12,7,,,,,,,,,,32,367,2,Iowa,College Stats
4,2019,1,15,Dwayne Haskins\HaskDw00,QB,22,WAS,2019,2019,0,0,0,3,9,7,2-5-0,119,203,1365,7,7,20,101,0,,,,Ohio St.,College Stats
5,2019,1,20,Noah Fant\FantNo00,TE,21,DEN,2019,2019,0,0,1,4,16,11,,,,,,,3,-12,0,40,562,3,Iowa,College Stats
6,2019,1,24,Josh Jacobs\JacoJo01,RB,21,OAK,2019,2019,0,0,1,8,13,13,,,,,,,242,1150,7,20,166,0,Alabama,College Stats
7,2019,1,25,Marquise Brown\BrowMa04,WR,22,BAL,2019,2019,0,0,0,8,14,11,,,,,,,,,,46,584,7,Oklahoma,College Stats
8,2019,1,32,N'Keal Harry\HarrNK00,WR,21,NWE,2019,2019,0,0,0,1,7,5,,,,,,,5,49,0,12,105,2,Arizona St.,College Stats
9,2019,2,36,Deebo Samuel\SamuDe00,WR,23,SFO,2019,2019,0,0,1,9,15,11,,,,,,,14,159,3,57,802,3,South Carolina,College Stats
10,2019,2,42,Drew Lock\LockDr00,QB,22,DEN,2019,2019,0,0,0,3,5,5,4-1-0,100,156,1020,7,3,18,72,0,,,,Missouri,College Stats
11,2019,2,50,Irv Smith Jr.\SmitIr01,TE,21,MIN,2019,2019,0,0,0,3,16,7,,,,,,,,,,36,311,2,Alabama,College Stats
12,2019,2,51,A.J. Brown\BrowAJ00,WR,22,TEN,2019,2019,0,0,1,10,16,11,,,,,,,3,60,1,52,1051,8,Mississippi,College Stats
