,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Jamaal Charles\CharJa00,RB,26,2013,NFL,KAN,15,11,4,0,308.00,378.0,395.0,343.0,0,0,0,0,0,259,1287,12,70,693,7,4,,,,
2,Matt Forte\FortMa00,RB,27,2013,NFL,CHI,16,8,8,0,263.30,337.3,354.3,300.3,0,0,0,0,0,289,1339,9,74,594,3,2,,,,
3,LeSean McCoy\McCoLe01,RB,25,2013,NFL,PHI,16,10,6,0,278.60,330.6,355.6,304.6,0,0,0,0,0,314,1607,9,52,539,2,1,,,,
4,Knowshon Moreno\MoreKn00,RB,26,2013,NFL,DEN,16,13,3,0,236.60,296.6,299.6,266.6,0,0,0,0,0,241,1038,10,60,548,3,1,,,,
5,Marshawn Lynch\LyncMa00,RB,27,2013,NFL,SEA,16,13,3,0,239.30,275.3,285.3,257.3,0,0,0,0,0,301,1257,12,36,316,2,4,,,,
6,DeMarco Murray\MurrDe00,RB,25,2013,NFL,DAL,14,7,7,0,205.10,258.1,268.1,231.6,0,0,0,0,0,217,1121,9,53,350,1,3,,,,
7,Eddie Lacy\LacyEd00,RB,23,2013,NFL,GNB,15,8,6,1,207.50,242.5,255.5,225.0,0,0,0,0,0,284,1178,11,35,257,0,1,,,,
8,Chris Johnson\JohnCh04,RB,27,2013,NFL,OTI,16,7,9,0,198.20,240.2,248.2,219.2,0,0,0,0,0,279,1077,6,42,345,4,3,,,,
9,Reggie Bush\BushRe00,RB,28,2013,NFL,DET,14,6,8,0,185.20,239.2,255.2,212.2,0,0,0,0,0,223,1006,4,54,506,3,5,,,,
10,Fred Jackson\JackFr02,RB,32,2013,NFL,BUF,16,6,10,0,187.70,234.7,237.7,211.2,0,0,0,0,0,206,890,9,47,387,1,3,,,,
11,Adrian Peterson\PeteAd01,HB,28,2013,NFL,MIN,14,3,10,1,203.70,232.7,250.7,218.2,0,0,0,0,0,279,1266,10,29,171,1,5,,,,
12,Danny Woodhead\WoodDa02,RB,28,2013,NFL,SDG,16,9,7,0,147.40,223.4,225.4,185.4,0,0,0,0,0,106,429,2,76,605,6,2,,,,
13,Giovani Bernard\BernGi00,HB,21,2013,NFL,CIN,16,11,5,0,166.90,222.9,223.9,194.9,0,0,0,0,0,170,695,5,56,514,3,1,,,,
