,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Rob Gronkowski\GronRo00,TE,25,2014,NFL,NWE,15,12,3,0,184.40,266.4,275.4,225.4,0,0,0,0,0,0,0,0,82,1124,12,0,,,,
2,Jimmy Graham\GrahJi00,TE,27,2014,NFL,NOR,16,7,9,0,144.90,229.9,234.9,187.4,0,0,0,0,0,0,0,0,85,889,10,2,,,,
3,Antonio Gates\GateAn00,TE,34,2014,NFL,SDG,16,9,7,0,154.10,223.1,223.1,188.6,0,0,0,0,0,0,0,0,69,821,12,1,,,,
4,Martellus Bennett\BennMa00,TE,27,2014,NFL,CHI,16,5,11,0,131.60,221.6,227.6,176.6,0,0,0,0,0,0,0,0,90,916,6,0,,,,
5,Greg Olsen\OlseGr00,TE,29,2014,NFL,CAR,16,7,8,1,136.80,220.8,229.8,178.8,0,0,0,0,0,0,0,0,84,1008,6,1,,,,
6,Travis Kelce\KelcTr00,TE,24,2014,NFL,KAN,16,9,7,0,110.20,177.2,189.2,149.7,0,0,0,0,0,0,0,0,67,862,5,4,,,,
7,Coby Fleener\FleeCo00,TE,25,2014,NFL,CLT,16,11,5,0,125.40,176.4,182.4,150.9,0,0,0,0,0,0,0,0,51,774,8,0,,,,
8,Delanie Walker\WalkHu00,TE,30,2014,NFL,OTI,15,2,13,0,113.00,176.0,182.0,144.5,0,0,0,0,0,0,0,0,63,890,4,2,,,,
9,Jason Witten\WittJa00,TE,32,2014,NFL,DAL,16,12,4,0,100.30,164.3,164.3,132.3,0,0,0,0,0,0,0,0,64,703,5,0,,,,
10,Julius Thomas\ThomJu00,TE,26,2014,NFL,DEN,13,9,4,0,120.90,163.9,166.9,142.4,0,0,0,0,0,0,0,0,43,489,12,1,,,,
