,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Antonio Brown\BrowAn04,WR,29,2017,NFL,PIT,14,11,3,0,209.30,310.3,334.3,259.8,0,0,0,0,0,0,0,0,101,1533,9,4,,,,
2,DeAndre Hopkins\HopkDe00,WR,25,2017,NFL,HTX,15,4,11,0,213.80,309.8,325.8,261.8,0,0,0,0,0,0,0,0,96,1378,13,1,,,,
3,Keenan Allen\AlleKe00,WR,25,2017,NFL,SDG,16,9,7,0,176.20,278.2,305.2,233.2,0,0,0,0,0,2,9,0,102,1393,6,1,,,,
4,Larry Fitzgerald\FitzLa00,WR,34,2017,NFL,CRD,16,8,8,0,152.44,261.4,274.4,206.9,1,1,21,0,0,0,0,0,109,1156,6,1,,,,
5,Jarvis Landry\LandJa00,WR,24,2017,NFL,MIA,16,6,10,0,148.00,260.0,262.0,204.0,0,1,0,0,0,1,-7,0,112,987,9,4,,,,
6,Michael Thomas\ThomMi05,WR,24,2017,NFL,NOR,16,11,5,0,154.50,258.5,264.5,206.5,0,0,0,0,0,0,0,0,104,1245,5,0,,,,
7,Julio Jones\JoneJu02,WR,28,2017,NFL,ATL,16,10,6,0,163.90,251.9,263.9,207.9,0,0,0,0,0,1,15,0,88,1444,3,0,,,,
8,Tyreek Hill\HillTy00,WR,23,2017,NFL,KAN,15,9,6,0,170.20,245.2,258.2,208.7,0,1,0,0,1,17,59,0,75,1183,7,2,,,,
9,Adam Thielen\ThieAd00,WR,27,2017,NFL,MIN,16,13,3,0,148.70,239.7,253.7,194.2,0,0,0,0,0,1,11,0,91,1276,4,3,,,,
10,A.J. Green\GreeA.00,WR,29,2017,NFL,CIN,16,7,9,0,151.80,226.8,237.8,189.3,0,0,0,0,0,0,0,0,75,1078,8,2,,,,
11,Marvin Jones\JoneMa02,WR,27,2017,NFL,DET,16,9,7,0,164.10,225.1,234.1,194.6,0,0,0,0,0,0,0,0,61,1101,9,0,,,,
12,Golden Tate\TateGo00,WR,29,2017,NFL,DET,16,9,7,0,132.50,224.5,234.5,178.5,0,0,0,0,0,5,22,0,92,1003,5,1,,,,
13,Doug Baldwin\BaldDo00,WR,28,2017,NFL,SEA,16,9,7,0,148.30,223.3,229.3,185.8,0,0,0,0,0,2,-8,0,75,991,8,0,,,,
14,Davante Adams\AdamDa01,WR,24,2017,NFL,GNB,14,7,7,0,148.50,222.5,225.5,185.5,0,0,0,0,0,0,0,0,74,885,10,0,,,,
15,Brandin Cooks\CookBr00,WR,23,2017,NFL,NWE,16,13,3,0,156.20,221.2,227.2,188.7,0,0,0,0,0,9,40,0,65,1082,7,0,,,,
16,Demaryius Thomas\ThomDe03,WR,29,2017,NFL,DEN,16,5,11,0,122.90,205.9,209.9,164.4,0,0,0,0,0,0,0,0,83,949,5,1,,,,
17,Mike Evans\EvanMi00,WR,24,2017,NFL,TAM,15,4,11,0,132.10,203.1,206.1,167.6,0,0,0,0,0,0,0,0,71,1001,5,1,,,,
18,Robby Anderson\AndeRo04,WR,24,2017,NFL,NYJ,16,5,11,0,137.00,200.0,209.0,168.5,0,0,0,0,0,3,9,0,63,941,7,0,,,,
19,Stefon Diggs\DiggSt00,WR,23,2017,NFL,MIN,14,11,3,0,134.20,198.2,201.2,166.2,0,0,0,0,0,8,13,0,64,849,8,0,,,,
20,JuJu Smith-Schuster\SmitJu00,WR,20,2017,NFL,PIT,14,11,3,0,139.70,197.7,206.7,168.7,0,0,0,0,0,0,0,0,58,917,7,0,,,,
21,Alshon Jeffery\JeffAl00,WR,27,2017,NFL,PHI,16,13,3,0,138.90,195.9,195.9,167.4,0,0,0,0,0,0,0,0,57,789,9,0,,,,
22,Devin Funchess\FuncDe00,WR,23,2017,NFL,CAR,16,11,5,0,132.00,195.0,198.0,163.5,0,0,0,0,0,0,0,0,63,840,8,0,,,,
23,Nelson Agholor\AghoNe00,WR,24,2017,NFL,PHI,16,13,3,0,125.70,187.5,196.5,162.5,0,0,0,0,0,1,7,0,62,768,8,0,,,,
24,Dez Bryant\BryaDe01,WR,28,2017,NFL,DAL,16,9,7,0,117.40,186.4,187.4,151.9,0,0,0,0,0,1,-4,0,69,838,6,1,,,,
25,Cooper Kupp\KuppCo00,WR,24,2017,NFL,RAM,15,11,4,0,114.90,176.9,183.9,145.9,0,1,0,0,0,0,0,0,62,869,5,1,,,,
26,Jermaine Kearse\KearJe01,WR,27,2017,NFL,NYJ,16,5,11,0,111.00,176.0,182.0,143.5,0,0,0,0,0,0,0,0,65,810,5,1,,,,
27,T.Y. Hilton\HiltT.00,WR,27,2017,NFL,CLT,16,4,12,0,118.60,175.6,188.6,147.1,0,0,0,0,0,0,0,0,57,966,4,2,,,,
28,Kenny Stills\StilKe00,WR,25,2017,NFL,MIA,16,6,10,0,116.70,174.7,179.7,145.7,0,0,0,0,0,0,0,0,58,847,6,4,,,,
29,Mohamed Sanu\SanuMo00,WR,28,2017,NFL,ATL,15,10,5,0,107.34,174.3,174.3,140.8,1,1,51,1,0,4,10,0,67,703,5,0,,,,
30,Michael Crabtree\CrabMi00,WR,29,2017,NFL,RAI,14,5,9,0,113.80,171.8,171.8,142.8,0,0,0,0,0,0,0,0,58,618,8,1,,,,
31,Marquise Goodwin\GoodMa00,WR,26,2017,NFL,SFO,16,6,10,0,112.60,168.6,177.6,140.6,0,0,0,0,0,4,44,0,56,962,2,0,,,,
32,Robert Woods\WoodRo02,WR,25,2017,NFL,RAM,12,9,3,0,107.30,163.3,170.3,135.3,0,0,0,0,0,2,12,0,56,781,5,1,,,,
33,Jamison Crowder\CrowJa00,WR,24,2017,NFL,WAS,15,6,9,0,95.00,160.3,169.3,127.3,0,0,0,0,0,7,34,0,66,789,3,6,,,,
34,Ted Ginn\GinnTe00,WR,32,2017,NFL,NOR,15,10,5,0,106.60,159.6,162.6,133.1,0,0,0,0,0,10,39,0,53,787,4,2,,,,
35,Randall Cobb\CobbRa00,WR,27,2017,NFL,GNB,15,6,9,0,93.40,159.4,159.4,126.4,1,1,10,0,0,9,17,0,66,653,4,1,,,,
36,Amari Cooper\CoopAm00,WR,23,2017,NFL,RAI,14,5,9,0,110.40,158.4,164.4,134.4,0,0,0,0,0,1,4,0,48,680,7,1,,,,
37,Rishard Matthews\MattRi00,WR,27,2017,NFL,OTI,14,7,7,0,103.20,156.2,159.2,129.7,0,0,0,0,0,1,-3,0,53,795,4,0,,,,
38,Mike Wallace\WallMi00,WR,31,2017,NFL,RAV,15,8,7,0,99.20,151.2,157.2,125.2,0,0,0,0,0,1,4,0,52,748,4,0,,,,
39,Paul Richardson\RichPa01,WR,25,2017,NFL,SEA,16,9,7,0,106.30,150.3,153.3,128.3,0,0,0,0,0,0,0,0,44,703,6,0,,,,
40,Marqise Lee\LeexMa00,WR,25,2017,NFL,JAX,14,10,4,0,91.90,147.9,147.9,119.9,0,1,0,0,0,1,17,0,56,702,3,1,,,,
41,Sammy Watkins\WatkSa00,WR,24,2017,NFL,RAM,15,11,4,0,107.30,146.3,149.3,126.8,0,0,0,0,0,0,0,0,39,593,8,0,,,,
